GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
icredit2-be,com.icredit2.be.api.exception,ErrorResponse,0,18,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
icredit2-be,com.icredit2.be.api.exception,GlobalExceptionHandler,36,145,1,1,14,51,3,9,2,9
icredit2-be,com.icredit2.be.api.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
icredit2-be,com.icredit2.be,ICredit2BeApplication,5,3,0,0,2,1,1,1,1,1
icredit2-be,com.icredit2.be.api.controller,CompanyController,0,6,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.controller,CityController,0,28,0,0,0,7,0,5,0,5
icredit2-be,com.icredit2.be.api.controller,RoleController,42,0,0,0,5,0,3,0,3,0
icredit2-be,com.icredit2.be.api.controller,AuthController,0,69,0,0,0,16,0,4,0,4
icredit2-be,com.icredit2.be.api.dto,AuthDtos.LoginRequest,0,9,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,AuthDtos,3,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,CompanyDtos,3,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,CityDtos.CityResponse,0,18,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,CompanyDtos.CompanyRegistrationRequest,0,9,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,UserDtos,3,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,UserDtos.UserResponse,0,24,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,CityDtos.CityRequest,0,9,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,AuthDtos.LogoutRequest,6,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,RoleDtos.RoleResponse,12,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,RoleDtos.CreateRoleRequest,9,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,AuthDtos.RefreshTokenRequest,6,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,CityDtos,3,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.api.dto,CompanyDtos.CompanyRegistrationResponse,0,12,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,CompanyDtos.CompanyOwnerRequest,0,12,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,CompanyDtos.CompanyResponse,0,12,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,AuthDtos.AuthResponse,0,12,0,0,0,1,0,1,0,1
icredit2-be,com.icredit2.be.api.dto,RoleDtos,3,0,0,0,1,0,1,0,1,0
icredit2-be,com.icredit2.be.service,AuthService,238,0,8,0,61,0,8,0,4,0
icredit2-be,com.icredit2.be.service,CompanyService,0,27,0,0,0,7,0,3,0,3
icredit2-be,com.icredit2.be.service,RoleService,33,0,0,0,9,0,3,0,3,0
icredit2-be,com.icredit2.be.service,CityService,0,140,0,2,0,34,0,11,0,10
icredit2-be,com.icredit2.be.security,CustomUserDetails,41,0,2,0,12,0,9,0,8,0
icredit2-be,com.icredit2.be.security,JwtAuthenticationFilter,101,0,18,0,28,0,10,0,1,0
icredit2-be,com.icredit2.be.security,SecurityConfig,105,0,0,0,25,0,8,0,8,0
icredit2-be,com.icredit2.be.security,CompanyContext,40,0,8,0,10,0,6,0,2,0
icredit2-be,com.icredit2.be.security,CustomUserDetailsService,58,0,2,0,12,0,6,0,5,0
icredit2-be,com.icredit2.be.security,JwtService,105,0,4,0,26,0,13,0,11,0
